strategy,bet_no,date_time,match_id,odds_type,side,odds,won,bankroll_before,full_kelly_fraction,bet_fraction,raw_stake_before_cap,stake,fee,net_pnl,bankroll_after,drawdown,hit_bet_cap
kelly_50,102,2025-01-05 14:00:00,12623714,1X2,home,1.91,1.0,49837.25393854486,0.036409528001180885,0.018204764000590443,907.2754463887057,907.2754463887057,27.21826339166117,798.402392822061,53437.024294971605,0.0,False
kelly_50,103,2025-01-05 14:00:00,12409727,1X2,draw,8.5,0.0,49837.25393854486,0.004243872893191044,0.002121936446595522,105.75148553043456,105.75148553043456,3.1725445659130367,-108.92403009634761,53328.100264875255,-0.0020383625685272276,False
kelly_50,104,2025-01-05 14:00:00,12623150,HC,home,1.95,1.0,49837.25393854486,0.3680477789270358,0.1840238894635179,9171.245309952052,5000.0,150.0,4600.0,57928.10026487526,0.0,True
kelly_50,105,2025-01-05 14:00:00,12623714,HC,home,1.91,1.0,49837.25393854486,0.22952222556048846,0.11476111278024423,5719.378719899018,5000.0,150.0,4400.0,62328.10026487526,0.0,True
kelly_50,106,2025-01-05 15:00:00,12450096,HC,home,1.77,1.0,62328.10026487526,0.7416895409145919,0.37084477045729597,23114.050035766995,5000.0,150.0,3700.0,66028.10026487526,0.0,True
kelly_50,107,2025-01-05 15:00:00,12450096,OU,under,1.92,1.0,62328.10026487526,0.03824167074223419,0.019120835371117095,1191.7653441591597,1191.7653441591597,35.75296032477479,1060.671156301652,67088.77142117692,0.0,False
kelly_50,108,2025-01-05 17:00:00,12623865,HC,home,1.8,1.0,67088.77142117692,0.5208768562212037,0.26043842811060186,17472.494172802784,5000.0,150.0,3850.0,70938.77142117692,0.0,True
kelly_50,109,2025-01-05 19:45:00,12623869,HC,home,1.99,0.0,70938.77142117692,0.25295334110793793,0.12647667055396897,8972.099622539503,5000.0,150.0,-5150.0,65788.77142117692,-0.07259781776348331,True
kelly_50,110,2025-01-05 19:45:00,12425792,HC,home,2.02,1.0,70938.77142117692,0.8424767496521002,0.4212383748260501,29882.132785613212,5000.0,150.0,4950.0,70738.77142117692,-0.0028193327286789634,True
kelly_50,111,2025-01-05 19:45:00,12623869,1X2,home,1.99,0.0,70938.77142117692,0.031210607160769954,0.015605303580384977,1107.0210636470038,1107.0210636470038,33.21063190941011,-1140.2316955564138,69598.5397256205,-0.018892795416475528,False
kelly_50,112,2025-01-06 20:00:00,12449866,1X2,home,2.06,0.0,69598.5397256205,0.03020161853722284,0.01510080926861142,1050.9942737704703,1050.9942737704703,31.529828213114108,-1082.5241019835844,68516.01562363692,-0.034152773568006105,False
kelly_50,113,2025-01-10 19:45:00,12623556,OU,under,2.05,1.0,68516.01562363692,0.07759342926911723,0.03879671463455862,2658.1963060472012,2658.1963060472012,79.74588918141603,2711.3602321681446,71227.37585580506,0.0,False
kelly_50,114,2025-01-10 19:45:00,12623687,HC,home,1.8,1.0,68516.01562363692,0.5286200753028555,0.26431003765142774,18109.470669209288,5000.0,150.0,3850.0,75077.37585580506,0.0,True
kelly_50,115,2025-01-10 19:45:00,12623687,OU,under,1.95,0.0,68516.01562363692,0.03806993248603248,0.01903496624301624,1304.200044501902,1304.200044501902,39.12600133505706,-1343.326045836959,73734.04980996811,-0.01789255458817532,False
kelly_50,116,2025-01-10 20:00:00,12412142,HC,home,1.84,1.0,73734.04980996811,0.11604759402678418,0.05802379701339209,4278.329539148931,4278.329539148931,128.3498861744679,3465.4469267106347,77199.49673667875,0.0,False
kelly_50,117,2025-01-10 20:05:00,12425798,1X2,away,1.66,1.0,77199.49673667875,0.04852083409221723,0.024260417046108616,1872.8919865815276,1872.8919865815276,56.18675959744583,1179.9219515463622,78379.41868822511,0.0,False
kelly_50,118,2025-01-11 13:00:00,12412139,HC,home,2.02,1.0,78379.41868822511,0.13534497129715664,0.06767248564857832,5304.130086322825,5000.0,150.0,4950.0,83329.41868822511,0.0,True
kelly_50,119,2025-01-11 14:00:00,12623874,HC,home,1.97,1.0,83329.41868822511,0.2929788910741069,0.14648944553705345,12206.880340563077,5000.0,150.0,4700.0,88029.41868822511,0.0,True
kelly_50,120,2025-01-11 14:30:00,12623221,HC,home,1.85,1.0,88029.41868822511,0.776598489901854,0.388299244950927,34181.75681010683,5000.0,150.0,4100.0,92129.41868822511,0.0,True
kelly_50,121,2025-01-11 14:30:00,12623198,HC,away,1.97,1.0,88029.41868822511,0.07621890983759845,0.038109454918799225,3354.753163027017,3354.753163027017,100.6425948908105,3153.467973245396,95282.8866614705,0.0,False
kelly_50,122,2025-01-11 15:15:00,12412161,HC,away,1.85,1.0,95282.8866614705,0.32022726256987744,0.16011363128493872,15256.088982679294,5000.0,150.0,4100.0,99382.8866614705,0.0,True
kelly_50,123,2025-01-11 16:00:00,12425793,HC,away,1.97,1.0,99382.8866614705,0.10457189271527254,0.05228594635763627,5196.328280848692,5000.0,150.0,4700.0,104082.8866614705,0.0,True
kelly_50,124,2025-01-11 17:30:00,12623259,OU,under,2.11,0.0,104082.8866614705,0.03096789346056456,0.01548394673028228,1611.6138726002173,1611.6138726002173,48.34841617800652,-1659.9622887782239,102422.92437269229,-0.015948465132190684,False
