strategy,bet_no,date_time,match_id,odds_type,side,odds,won,bankroll_before,stake,fee,net_pnl,cumulative_pnl,bankroll_after,full_kelly_fraction,target_fraction,drawdown
kelly_100,83,2024-12-23 17:30:00,12623792,1X2,away,4.1,0.0,6.5089966332529325,0.1200712932683024,0.0018010693990245,-0.121872362667327,5.346286786819578,6.346286786819578,0.0184469742471345,0.0184469742471345,-0.1704123192960063
kelly_100,84,2024-12-23 17:30:00,12623792,HC,home,1.83,1.0,6.5089966332529325,4.97505865959685,0.0746258798939527,4.054672807571433,9.400959594391011,10.400959594391011,0.7643357248305285,0.7643357248305285,0.0
kelly_100,85,2024-12-23 19:45:00,12623787,HC,home,1.8,1.0,10.400959594391011,8.92903724438778,0.1339355586658167,7.009294236844408,16.41025383123542,17.41025383123542,0.8584820624822922,0.8584820624822922,0.0
kelly_100,86,2024-12-26 12:30:00,12409763,HC,home,1.75,1.0,17.41025383123542,16.885247679034936,0.253278715185524,12.41065704409068,28.8209108753261,29.8209108753261,0.9698450029913648,0.9698450029913648,0.0
kelly_100,87,2024-12-26 15:00:00,12409790,HC,home,1.8,1.0,29.8209108753261,6.217794403519509,0.0932669160527926,4.880968606762815,33.70187948208891,34.70187948208891,0.208504509788939,0.208504509788939,0.0
kelly_100,88,2024-12-26 15:00:00,12409757,1X2,away,3.15,0.0,29.8209108753261,0.8224683386327748,0.0123370250794916,-0.8348053637122664,32.86707411837665,33.86707411837665,0.0275802554144409,0.0275802554144409,-0.024056488471846
kelly_100,89,2024-12-26 15:00:00,12409768,1X2,home,2.09,0.0,29.8209108753261,1.5886656141311943,0.0238299842119679,-1.612495598343162,31.254578520033483,32.25457852003348,0.0532735442177811,0.0532735442177811,-0.0705235854247774
kelly_100,90,2024-12-26 15:00:00,12409762,OU,under,2.05,1.0,29.8209108753261,4.427398478189541,0.0664109771728431,4.582357424926173,35.83693594495966,36.83693594495966,0.1484662388985838,0.1484662388985838,0.0
kelly_100,91,2024-12-26 15:00:00,12409790,1X2,home,1.8,1.0,29.8209108753261,1.4077276287333804,0.0211159144310007,1.1050661885557036,36.94200213351536,37.94200213351536,0.0472060573407279,0.0472060573407279,0.0
kelly_100,92,2024-12-26 15:00:00,12409760,1X2,away,4.05,0.0,29.8209108753261,0.4619873178143792,0.0069298097672156,-0.4689171275815949,36.47308500593377,37.47308500593377,0.0154920592380908,0.0154920592380908,-0.0123587871280883
kelly_100,93,2024-12-26 17:30:00,12449951,HC,home,1.97,1.0,37.47308500593377,4.0340570955032815,0.0605108564325492,3.8525245262056336,40.3256095321394,41.3256095321394,0.107652121378971,0.107652121378971,0.0
kelly_100,94,2024-12-26 17:30:00,12409786,HC,away,1.8,1.0,37.47308500593377,14.45604217028173,0.2168406325542259,11.34799310367116,51.67360263581056,52.67360263581056,0.3857713387620115,0.3857713387620115,0.0
kelly_100,95,2024-12-26 20:00:00,12449878,1X2,draw,10.0,0.0,52.67360263581056,0.3456593567309151,0.0051848903509637,-0.3508442470818788,51.32275838872868,52.32275838872868,0.0065622881184116,0.0065622881184116,-0.0066607224401878
kelly_100,96,2024-12-26 20:00:00,12449878,HC,away,1.83,1.0,52.67360263581056,25.07536362418792,0.3761304543628188,20.43642135371316,71.75917974244184,72.75917974244184,0.4760518052573879,0.4760518052573879,0.0
kelly_100,97,2024-12-27 19:30:00,12409755,HC,home,1.76,1.0,72.75917974244184,48.0256259011179,0.7203843885167684,35.77909129633284,107.53827103877468,108.53827103877468,0.6600627724380957,0.6600627724380957,0.0
kelly_100,98,2024-12-27 19:30:00,12409755,1X2,away,3.6,0.0,72.75917974244184,1.573415969941537,0.023601239549123,-1.5970172094906605,105.94125382928402,106.94125382928402,0.0216249822429448,0.0216249822429448,-0.0147138626238125
kelly_100,99,2024-12-27 20:15:00,12409767,HC,home,1.78,1.0,106.94125382928402,101.14967257169812,1.5172450885754718,77.37949951734906,183.32075334663307,184.32075334663307,0.9680618845670176,0.9680618845670176,0.0
